         98616 function calls (96118 primitive calls) in 0.224 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
      480    0.000    0.000    0.000    0.000 typing.py:781(<genexpr>)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
       26    0.000    0.000    0.000    0.000 enum.py:720(__call__)
        3    0.000    0.000    0.000    0.000 typing.py:1485(copy_with)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:44(_bits_of)
       47    0.000    0.000    0.000    0.000 ipaddress.py:1764(_parse_hextet)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:1123(_generic_init_subclass)
      102    0.000    0.000    0.000    0.000 typing.py:1320(<genexpr>)
       72    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
      183    0.000    0.000    0.000    0.000 typing.py:1629(_value_and_type_iter)
